time,healthy,sick,recovered,dead
1.935000,148,44,0,4
1.940000,148,44,0,4
1.945000,146,46,0,4
1.950000,145,47,0,4
1.955000,144,48,0,4
1.960000,144,48,0,4
1.965000,143,49,0,4
1.970000,141,51,0,4
1.975000,141,51,0,4
1.980000,140,52,0,4
1.985000,139,53,0,4
1.990000,137,55,0,4
1.995000,136,56,0,4
2.000000,136,56,0,4
2.005000,133,58,1,4
2.010000,132,59,1,4
2.015000,132,59,1,4
2.020000,132,59,1,4
2.025000,132,59,1,4
2.030000,131,60,1,4
2.035000,131,60,1,4
2.040000,130,61,1,4
2.045000,129,62,1,4
2.050000,128,63,1,4
2.055000,128,63,1,4
2.060000,128,63,1,4
2.065000,127,64,1,4
2.070000,123,67,1,5
2.075000,123,67,1,5
2.080000,123,67,1,5
2.085000,122,68,1,5
2.090000,122,68,1,5
2.095000,120,70,1,5
2.100000,118,72,1,5
2.105000,117,73,1,5
2.110000,117,73,1,5
2.115000,117,73,1,5
2.120000,117,73,1,5
2.125000,117,73,1,5
2.130000,116,74,1,5
2.135000,114,76,1,5
2.140000,114,76,1,5
2.145000,114,76,1,5
2.150000,114,76,1,5
2.155000,112,78,1,5
2.160000,111,79,1,5
2.165000,111,79,1,5
2.170000,111,79,1,5
2.175000,111,79,1,5
2.180000,111,79,1,5
2.185000,111,79,1,5
2.190000,111,79,1,5
2.195000,110,80,1,5
2.200000,110,80,1,5
2.205000,109,81,1,5
2.210000,109,81,1,5
2.215000,109,81,1,5
2.220000,109,81,1,5
2.225000,107,83,1,5
2.230000,105,85,1,5
2.235000,105,85,1,5
2.240000,104,86,1,5
2.245000,103,87,1,5
2.250000,103,87,1,5
2.255000,103,87,1,5
2.260000,103,87,1,5
2.265000,103,87,1,5
2.270000,103,87,1,5
2.275000,102,88,1,5
2.280000,102,88,1,5
2.285000,102,88,1,5
2.290000,102,88,1,5
2.295000,102,88,1,5
2.300000,102,88,1,5
2.305000,102,88,1,5
2.310000,102,88,1,5
2.315000,101,89,1,5
2.320000,101,89,1,5
2.325000,101,89,1,5
2.330000,101,89,1,5
2.335000,101,89,1,5
2.340000,101,89,1,5
2.345000,101,89,1,5
2.350000,101,89,1,5
2.355000,101,89,1,5
2.360000,100,90,1,5
2.365000,98,92,1,5
2.370000,98,92,1,5
2.375000,97,93,1,5
2.380000,96,94,1,5
2.385000,95,95,1,5
2.390000,95,95,1,5
2.395000,95,95,1,5
2.400000,95,95,1,5
2.405000,94,95,1,6
2.410000,94,95,1,6
2.415000,93,96,1,6
2.420000,93,96,1,6
2.425000,93,96,1,6
2.430000,92,97,1,6
2.435000,92,97,1,6
2.440000,91,98,1,6
2.445000,91,98,1,6
2.450000,90,99,1,6
2.455000,90,99,1,6
2.460000,90,99,1,6
2.465000,90,99,1,6
2.470000,89,100,1,6
2.475000,89,100,1,6
2.480000,89,100,1,6
2.485000,89,100,1,6
2.490000,89,100,1,6
2.495000,89,100,1,6
2.500000,88,101,1,6
2.505000,87,102,1,6
